Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/02/24 22:00:39+00,200,1487,4003,10071,7817,5695,4266,2504,1328,1021,0,253,1540,3619,9086,7621,5542,4238,2498,1141,611,0,456,3045,7674,19245,15489,11270,8533,5011,2476,1636,0,38422,36149,264,0.029,0.076,0.574,0.144,0.174,0.36,0.464,0.177,320,Past,0.004,0.001
2021/02/25 22:00:39+00,200,1493,4042,10099,7836,5706,4283,2508,1332,1021,0,254,1545,3631,9117,7644,5559,4254,2504,1143,611,0,457,3056,7695,19305,15531,11298,8566,5021,2482,1636,0,38520,36262,265,0.029,0.076,0.573,0.144,0.174,0.359,0.464,0.177,321,Past,0.004,0.001
2021/02/26 22:00:39+00,202,1498,4065,10154,7865,5721,4294,2517,1335,1022,0,254,1551,3644,9153,7690,5592,4268,2509,1149,613,0,459,3067,7731,19396,15607,11346,8591,5035,2491,1639,0,38673,36423,266,0.029,0.076,0.573,0.144,0.173,0.36,0.464,0.177,322,Past,0.004,0.001
2021/02/27 22:00:39+00,203,1518,4087,10185,7886,5742,4308,2530,1337,1024,0,255,1558,3662,9175,7701,5616,4280,2518,1151,614,0,461,3094,7771,19449,15640,11391,8617,5057,2495,1642,0,38820,36530,267,0.029,0.076,0.573,0.144,0.173,0.36,0.463,0.177,323,Past,0.004,0.001
2021/02/28 22:00:39+00,203,1518,4087,10188,7890,5744,4310,2531,1337,1024,0,255,1558,3662,9178,7703,5616,4280,2520,1151,614,0,461,3094,7771,19455,15646,11393,8619,5060,2495,1642,0,38832,36537,267,0.029,0.076,0.573,0.144,0.173,0.36,0.463,0.177,324,Past,0.004,0.001
2021/03/01 22:00:39+00,192,1529,4015,10181,7986,5772,4333,2566,1346,1041,0,241,1580,3632,9127,7776,5652,4327,2553,1162,621,0,436,3127,7669,19399,15815,11457,8689,5128,2515,1666,0,38961,36671,269,0.029,0.076,0.573,0.144,0.173,0.36,0.463,0.178,325,Past,0.004,0.001
2021/03/02 22:00:39+00,191,1533,4025,10205,8007,5781,4344,2570,1349,1046,0,242,1583,3649,9144,7804,5661,4340,2556,1166,622,0,436,3134,7696,19441,15864,11475,8713,5135,2522,1672,0,39051,36767,270,0.029,0.076,0.573,0.144,0.174,0.36,0.462,0.178,326,Past,0.004,0.001
2021/03/03 22:00:00+00,191,1537,4037,10227,8014,5796,4351,2577,1350,1047,0,242,1584,3658,9171,7833,5680,4354,2561,1168,625,0,436,3139,7717,19490,15900,11510,8733,5148,2525,1676,0,39127,36876,271,0.029,0.076,0.571,0.145,0.174,0.359,0.46,0.181,327,Past,0.004,0.001
2021/03/04 22:00:00+00,191,1541,4036,10239,8028,5803,4353,2585,1352,1050,0,244,1589,3660,9183,7839,5682,4361,2563,1171,625,0,438,3148,7718,19514,15920,11519,8742,5157,2530,1679,0,39178,36917,270,0.029,0.076,0.572,0.145,0.174,0.359,0.46,0.181,328,Past,0.004,0.001
2021/03/05 22:00:00+00,191,1542,4041,10251,8035,5806,4355,2587,1352,1052,0,244,1590,3667,9197,7853,5686,4364,2566,1173,625,0,438,3150,7730,19540,15941,11526,8747,5162,2532,1681,0,39212,36965,270,0.029,0.076,0.572,0.145,0.174,0.359,0.46,0.181,329,Past,0.004,0.001
