Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/04/17 21:00:00+00,219,1661,4451,10967,8388,6080,4576,2673,1406,1065,0,272,1733,3999,9995,8302,5988,4553,2665,1214,639,0,495,3413,8475,21060,16747,12104,9161,5348,2627,1708,0,41486,39360,292,3.003,7.572,56.964,14.541,17.407,36.522,44.651,18.828,376,Past,0.391,0.122
2021/04/18 21:00:00+00,219,1662,4453,10973,8395,6089,4580,2675,1406,1065,0,274,1734,4004,10003,8308,5994,4554,2665,1214,639,0,497,3415,8482,21075,16760,12119,9166,5350,2627,1708,0,41517,39389,293,3.002,7.575,56.968,14.536,17.406,36.525,44.649,18.826,377,Past,0.391,0.122
2021/04/19 21:00:00+00,220,1668,4469,10992,8411,6095,4589,2682,1409,1065,0,274,1738,4011,10021,8317,6004,4563,2666,1215,640,0,498,3425,8505,21122,16785,12135,9184,5358,2631,1709,0,41600,39449,293,3.005,7.585,56.974,14.528,17.394,36.54,44.624,18.835,378,Past,0.392,0.122
2021/04/20 21:00:00+00,220,1670,4478,11014,8422,6107,4591,2686,1409,1066,0,274,1743,4024,10036,8332,6011,4570,2669,1215,640,0,498,3432,8527,21149,16811,12154,9193,5365,2631,1710,0,41663,39514,293,2.999,7.574,56.985,14.53,17.394,36.543,44.62,18.836,379,Past,0.391,0.123
2021/04/21 21:00:00+00,221,1670,4483,11030,8428,6108,4597,2686,1412,1067,0,274,1748,4030,10043,8340,6015,4573,2670,1217,640,0,499,3439,8538,21174,16826,12159,9203,5366,2636,1711,0,41702,39550,299,2.997,7.592,56.986,14.515,17.393,36.559,44.595,18.847,380,Past,0.393,0.124
2021/04/22 21:00:00+00,222,1672,4487,11037,8429,6110,4600,2685,1412,1067,0,275,1749,4036,10051,8348,6017,4573,2671,1218,642,0,501,3442,8548,21189,16835,12163,9206,5366,2637,1713,0,41721,39580,299,3.006,7.613,56.967,14.495,17.399,36.581,44.556,18.863,381,Past,0.394,0.126
2021/04/23 21:00:00+00,223,1674,4490,11054,8437,6112,4605,2688,1412,1068,0,275,1751,4044,10064,8359,6018,4576,2676,1219,642,0,502,3446,8559,21219,16854,12166,9214,5374,2638,1714,0,41763,39624,299,3.004,7.622,56.963,14.495,17.396,36.591,44.537,18.872,382,Past,0.394,0.126
2021/04/24 21:00:00+00,223,1675,4494,11059,8439,6117,4611,2690,1412,1070,0,276,1752,4046,10066,8369,6020,4582,2678,1219,642,0,503,3448,8565,21226,16866,12173,9226,5378,2638,1716,0,41790,39650,299,3.002,7.625,56.966,14.485,17.4,36.6,44.522,18.878,383,Past,0.396,0.125
2021/04/25 21:00:00+00,223,1678,4498,11073,8447,6121,4614,2692,1414,1070,0,276,1754,4050,10078,8375,6025,4584,2679,1219,642,0,503,3453,8573,21252,16880,12182,9231,5381,2640,1716,0,41830,39682,299,3.004,7.625,56.966,14.484,17.401,36.604,44.509,18.886,384,Past,0.395,0.125
2021/04/26 21:00:00+00,223,1678,4511,11081,8462,6126,4620,2695,1414,1070,0,277,1757,4053,10093,8390,6030,4585,2680,1220,642,0,504,3456,8589,21275,16910,12192,9238,5385,2641,1716,0,41880,39727,299,3.006,7.627,56.962,14.479,17.404,36.587,44.52,18.893,385,Past,0.394,0.127
2021/04/27 21:00:00+00,224,1682,4526,11097,8480,6132,4626,2699,1415,1071,0,278,1758,4061,10106,8409,6050,4591,2686,1223,642,0,506,3461,8612,21305,16948,12218,9250,5395,2645,1717,0,41952,39804,301,3.013,7.639,56.941,14.481,17.396,36.603,44.506,18.891,386,Past,0.401,0.13
2021/04/28 21:00:00+00,224,1683,4533,11111,8489,6138,4635,2700,1415,1071,0,279,1763,4064,10120,8417,6055,4600,2689,1223,642,0,507,3467,8622,21333,16965,12229,9268,5399,2645,1717,0,41999,39852,301,3.013,7.624,56.93,14.476,17.428,36.598,44.474,18.927,387,Past,0.399,0.129
2021/04/29 21:00:00+00,225,1685,4543,11122,8501,6146,4639,2702,1415,1072,0,279,1766,4068,10134,8434,6063,4604,2692,1223,642,0,508,3472,8636,21359,16994,12245,9276,5404,2645,1718,0,42050,39905,302,3.022,7.626,56.926,14.503,17.393,36.635,44.458,18.907,388,Past,0.401,0.129
2021/04/30 21:00:00+00,225,1689,4552,11131,8503,6148,4643,2702,1417,1073,0,279,1771,4075,10147,8441,6072,4608,2695,1223,642,0,509,3481,8652,21381,17003,12256,9284,5407,2647,1719,0,42083,39953,303,3.017,7.627,56.938,14.493,17.394,36.649,44.446,18.905,389,Past,0.4,0.131
2021/05/01 21:00:00+00,225,1692,4557,11139,8511,6151,4648,2702,1417,1072,0,279,1771,4079,10156,8445,6077,4614,2696,1224,643,0,509,3484,8661,21398,17015,12265,9295,5408,2648,1719,0,42114,39984,304,3.02,7.63,56.929,14.498,17.391,36.647,44.442,18.91,390,Past,0.402,0.131
2021/05/02 21:00:00+00,225,1692,4559,11148,8514,6155,4648,2703,1417,1072,0,279,1775,4081,10165,8452,6080,4616,2697,1224,643,0,509,3488,8665,21415,17025,12272,9297,5410,2648,1719,0,42133,40012,303,3.019,7.627,56.928,14.496,17.398,36.641,44.445,18.914,391,Past,0.402,0.131
2021/05/03 21:00:00+00,226,1695,4566,11152,8522,6160,4652,2706,1418,1072,0,279,1777,4085,10170,8460,6088,4624,2700,1224,646,0,510,3493,8676,21424,17041,12285,9309,5416,2649,1723,0,42169,40053,304,3.016,7.635,56.936,14.489,17.389,36.657,44.418,18.925,392,Past,0.403,0.131
2021/05/04 21:00:00+00,227,1697,4567,11155,8527,6163,4655,2708,1418,1073,0,279,1778,4088,10175,8463,6091,4626,2702,1224,647,0,510,3496,8680,21432,17049,12291,9314,5420,2649,1725,0,42190,40073,303,3.018,7.631,56.954,14.488,17.376,36.651,44.42,18.929,393,Past,0.402,0.13
2021/05/05 21:00:00+00,227,1698,4574,11173,8539,6167,4658,2710,1418,1073,0,279,1778,4093,10189,8475,6096,4632,2704,1224,647,0,510,3498,8692,21464,17073,12300,9323,5424,2649,1725,0,42237,40117,304,3.012,7.641,56.945,14.49,17.381,36.656,44.415,18.929,394,Past,0.402,0.13
2021/05/06 21:00:00+00,227,1698,4577,11187,8540,6169,4664,2712,1418,1074,0,279,1780,4098,10199,8489,6099,4638,2708,1225,648,0,510,3500,8700,21488,17088,12305,9335,5430,2650,1727,0,42266,40163,304,3.021,7.631,56.964,14.477,17.376,36.644,44.424,18.932,395,Past,0.401,0.13
2021/05/07 21:00:00+00,228,1705,4580,11199,8545,6179,4664,2713,1420,1074,0,279,1784,4106,10209,8497,6105,4641,2709,1226,648,0,511,3511,8711,21510,17101,12321,9338,5432,2653,1727,0,42307,40204,304,3.021,7.635,56.961,14.47,17.38,36.645,44.418,18.937,396,Past,0.403,0.129
2021/05/08 21:00:00+00,228,1709,4584,11207,8552,6183,4667,2713,1420,1076,0,279,1787,4110,10217,8504,6112,4643,2711,1227,648,0,511,3518,8719,21526,17116,12332,9343,5434,2654,1729,0,42339,40238,305,3.019,7.644,56.948,14.468,17.389,36.64,44.414,18.946,397,Past,0.402,0.129
2021/05/09 21:00:00+00,228,1711,4585,11210,8556,6183,4668,2713,1420,1076,0,279,1788,4111,10221,8504,6113,4644,2711,1227,648,0,511,3521,8721,21533,17120,12333,9345,5434,2654,1729,0,42350,40246,305,3.018,7.644,56.94,14.471,17.395,36.626,44.424,18.95,398,Past,0.402,0.129
2021/05/10 21:00:00+00,229,1716,4590,11225,8562,6196,4670,2717,1423,1076,1,279,1794,4122,10231,8509,6119,4647,2714,1227,649,1,512,3532,8737,21558,17131,12352,9350,5441,2657,1730,2,42405,40292,305,3.018,7.64,56.939,14.469,17.404,36.623,44.404,18.973,399,Past,0.402,0.129
2021/05/11 21:00:00+00,228,1718,4594,11238,8571,6198,4673,2716,1425,1076,0,280,1795,4127,10240,8513,6124,4649,2715,1227,650,0,512,3535,8746,21580,17144,12359,9355,5441,2659,1731,0,42437,40320,305,3.002,7.376,55.093,14.034,19.961,36.4,42.737,20.863,400,Past,0.389,0.145
2021/05/12 21:00:00+00,228,1721,4606,11249,8579,6203,4675,2719,1426,1076,0,281,1799,4133,10250,8520,6127,4653,2715,1229,651,0,513,3542,8764,21601,17159,12367,9361,5444,2662,1732,0,42482,40358,305,3.012,7.378,55.103,14.017,19.958,36.424,42.707,20.869,401,Past,0.388,0.145
2021/05/13 21:00:00+00,228,1721,4614,11263,8585,6206,4678,2722,1426,1076,0,281,1799,4140,10257,8522,6127,4654,2716,1230,651,0,513,3542,8779,21622,17167,12370,9365,5448,2663,1732,0,42519,40377,305,3.022,7.373,55.104,14.007,19.961,36.416,42.713,20.87,402,Past,0.389,0.144
2021/05/14 21:00:00+00,228,1723,4618,11272,8591,6212,4678,2723,1427,1077,0,281,1802,4143,10263,8533,6129,4656,2717,1230,651,0,513,3547,8786,21639,17184,12378,9367,5450,2664,1733,0,42549,40405,307,3.025,7.377,55.092,13.995,19.978,36.4,42.691,20.909,403,Past,0.389,0.144
2021/05/15 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Past,,
2021/05/16 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Past,,
2021/05/17 21:00:00+00,228,1726,4629,11287,8598,6216,4683,2726,1429,1078,0,282,1802,4153,10277,8547,6133,4661,2720,1231,652,0,514,3550,8808,21668,17205,12386,9377,5456,2667,1735,0,42600,40458,308,3.023,7.384,55.089,13.994,19.978,36.419,42.667,20.914,406,Past,0.388,0.144
2021/05/18 21:00:00+00,228,1726,4630,11295,8603,6220,4685,2726,1432,1079,0,282,1803,4154,10281,8549,6135,4663,2721,1231,652,0,514,3551,8810,21680,17212,12392,9381,5457,2670,1736,0,42624,40471,308,3.024,7.391,55.056,13.993,20.003,36.411,42.652,20.937,407,Past,0.39,0.144
2021/05/19 21:00:00+00,230,1728,4632,11309,8604,6221,4689,2726,1432,1080,0,283,1804,4156,10288,8555,6138,4665,2723,1233,653,0,517,3554,8814,21701,17219,12396,9387,5459,2672,1738,0,42651,40498,308,3.021,7.385,55.048,13.997,20.013,36.41,42.645,20.945,408,Past,0.393,0.143
2021/05/20 21:00:00+00,230,1728,4636,11317,8610,6223,4689,2727,1434,1080,0,283,1805,4156,10292,8559,6139,4668,2724,1234,653,0,517,3555,8818,21713,17229,12399,9390,5461,2675,1738,0,42674,40513,308,3.02,7.387,55.031,14.006,20.02,36.4,42.637,20.963,409,Past,0.393,0.143
2021/05/21 21:00:00+00,230,1730,4636,11319,8614,6225,4689,2727,1434,1081,0,283,1806,4157,10295,8562,6140,4669,2728,1235,654,0,517,3558,8819,21718,17237,12403,9391,5465,2676,1740,0,42685,40529,310,3.017,7.391,55.037,14.008,20.013,36.394,42.655,20.951,410,Past,0.393,0.143
2021/05/22 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,Past,,
2021/05/23 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,Past,,
2021/05/24 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,Past,,
2021/05/25 21:00:00+00,230,1731,4642,11330,8624,6235,4695,2734,1434,1081,1,283,1811,4160,10305,8572,6142,4677,2730,1235,654,0,517,3565,8828,21739,17257,12414,9405,5474,2676,1740,1,42737,40569,310,3.01,7.386,55.059,14.001,20.01,36.424,42.635,20.941,415,Past,0.392,0.143
2021/05/26 21:00:00+00,230,1731,4644,11333,8628,6236,4698,2736,1434,1081,1,283,1811,4162,10310,8573,6150,4676,2732,1236,655,0,517,3565,8832,21747,17262,12423,9407,5478,2677,1741,1,42752,40588,310,3.012,7.388,55.065,14.003,19.999,36.437,42.632,20.931,416,Past,0.391,0.143
2021/05/27 21:00:00+00,230,1734,4645,11338,8630,6239,4700,2737,1435,1081,1,283,1811,4168,10315,8582,6152,4677,2733,1236,655,0,517,3568,8839,21757,17274,12428,9410,5480,2678,1741,1,42770,40612,311,3.014,7.392,55.054,14.011,19.991,36.437,42.637,20.926,417,Past,0.395,0.143
2021/05/28 21:00:00+00,230,1735,4646,11344,8632,6241,4702,2739,1435,1081,0,283,1813,4169,10321,8586,6154,4677,2733,1236,655,0,517,3571,8841,21769,17280,12432,9411,5482,2678,1741,0,42785,40627,310,3.012,7.397,55.038,14.014,20.002,36.441,42.615,20.945,418,Past,0.395,0.142
2021/05/29 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Past,,
2021/05/30 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,Past,,
2021/05/31 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,Past,,
2021/06/01 21:00:00+00,230,1738,4653,11350,8638,6243,4702,2739,1435,1081,0,283,1814,4172,10327,8593,6154,4679,2733,1236,655,0,517,3575,8851,21781,17293,12434,9413,5482,2678,1741,0,42809,40646,310,3.015,7.404,55.019,14.019,20.004,36.437,42.617,20.946,422,Past,0.397,0.142
2021/06/02 21:00:00+00,230,1740,4653,11356,8649,6250,4704,2741,1435,1082,0,283,1818,4177,10333,8604,6159,4679,2735,1237,655,0,517,3581,8856,21793,17315,12446,9415,5486,2679,1742,0,42840,40680,310,3.015,7.403,55.001,14.037,20.004,36.444,42.618,20.938,423,Past,0.398,0.142
2021/06/03 21:00:00+00,231,1743,4653,11369,8652,6252,4707,2744,1436,1083,0,283,1820,4181,10337,8609,6161,4680,2735,1237,655,0,518,3586,8860,21810,17323,12450,9419,5489,2680,1743,0,42870,40698,310,3.016,7.406,55.013,14.04,19.984,36.458,42.616,20.926,424,Past,0.398,0.142
2021/06/04 21:00:00+00,231,1744,4654,11372,8654,6253,4709,2745,1438,1083,0,283,1823,4184,10344,8612,6163,4681,2735,1237,655,0,518,3590,8864,21820,17328,12453,9422,5490,2682,1743,0,42883,40717,310,3.016,7.411,55.002,14.048,19.985,36.459,42.617,20.924,425,Past,0.398,0.142
2021/06/05 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,Past,,
2021/06/06 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,Past,,
2021/06/07 21:00:00+00,233,1746,4657,11382,8658,6254,4710,2748,1438,1083,0,284,1822,4186,10351,8616,6169,4682,2737,1239,655,0,521,3591,8869,21837,17337,12461,9424,5495,2684,1743,0,42909,40741,312,3.02,7.411,55.016,14.036,19.979,36.478,42.595,20.926,428,Past,0.397,0.142
2021/06/08 21:00:00+00,232,1748,4663,11396,8667,6256,4714,2752,1439,1084,0,284,1825,4191,10361,8622,6182,4686,2738,1239,656,0,520,3596,8880,21861,17352,12476,9432,5500,2685,1745,0,42951,40784,312,3.022,7.416,55.005,14.041,19.978,36.483,42.597,20.92,429,Past,0.397,0.142
2021/06/09 21:00:00+00,232,1748,4665,11400,8669,6258,4714,2753,1439,1084,0,284,1825,4194,10366,8625,6182,4689,2738,1239,656,0,520,3596,8885,21870,17357,12478,9435,5501,2685,1745,0,42962,40798,312,3.029,7.422,54.987,14.047,19.978,36.484,42.586,20.93,430,Past,0.396,0.141
2021/06/10 21:00:00+00,232,1749,4669,11403,8672,6261,4715,2753,1440,1084,0,284,1826,4195,10369,8627,6187,4690,2740,1240,656,0,520,3598,8890,21876,17362,12486,9437,5503,2687,1745,0,42978,40814,312,3.03,7.432,54.985,14.044,19.973,36.495,42.57,20.934,431,Past,0.396,0.141
2021/06/11 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,Past,,
2021/06/12 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,Past,,
2021/06/13 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,Past,,
2021/06/14 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,Past,,
2021/06/15 21:00:00+00,234,1761,4679,11419,8687,6277,4723,2756,1440,1084,0,285,1831,4208,10385,8651,6193,4702,2744,1242,657,0,523,3615,8914,21908,17402,12510,9457,5510,2689,1746,0,43060,40898,316,3.04,7.45,54.949,14.054,19.97,36.513,42.55,20.936,436,Past,0.396,0.141
2021/06/16 21:00:00+00,234,1762,4682,11425,8689,6280,4724,2757,1440,1084,0,285,1831,4209,10388,8653,6196,4702,2745,1242,658,0,523,3616,8918,21917,17407,12516,9458,5512,2689,1747,0,43077,40909,317,3.044,7.455,54.948,14.052,19.964,36.525,42.533,20.942,437,Past,0.396,0.141
2021/06/17 21:00:00+00,234,1763,4686,11432,8691,6287,4726,2757,1440,1084,0,286,1833,4209,10393,8656,6197,4705,2746,1243,658,0,524,3619,8922,21930,17412,12524,9463,5513,2690,1747,0,43100,40926,318,3.044,7.458,54.947,14.058,19.958,36.532,42.53,20.938,438,Past,0.396,0.14
2021/06/18 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,Past,,
2021/06/19 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,Past,,
2021/06/20 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,Past,,
2021/06/21 21:00:00+00,235,1765,4686,11442,8695,6289,4728,2758,1440,1084,0,286,1833,4211,10397,8659,6202,4705,2748,1244,658,0,525,3621,8924,21944,17419,12531,9465,5516,2691,1747,0,43122,40943,318,3.048,7.466,54.937,14.063,19.951,36.558,42.505,20.936,442,Past,0.395,0.14
2021/06/22 21:00:00+00,235,1771,4695,11456,8702,6293,4732,2763,1441,1084,0,286,1836,4218,10400,8667,6206,4709,2753,1243,658,0,525,3630,8940,21961,17435,12539,9473,5526,2691,1747,0,43172,40976,319,3.05,7.473,54.926,14.061,19.955,36.561,42.506,20.933,443,Past,0.395,0.14
2021/06/23 21:00:00+00,235,1772,4696,11466,8705,6294,4732,2763,1441,1085,0,287,1836,4220,10406,8672,6209,4711,2756,1245,658,0,526,3631,8944,21977,17443,12543,9475,5529,2693,1748,0,43189,41000,320,3.047,7.478,54.928,14.05,19.962,36.564,42.468,20.969,444,Past,0.394,0.14
2021/06/24 21:00:00+00,235,1772,4699,11471,8707,6295,4734,2763,1441,1085,0,288,1836,4222,10409,8673,6213,4712,2756,1245,658,0,527,3631,8949,21985,17446,12548,9478,5529,2693,1748,0,43202,41012,320,3.048,7.477,54.915,14.064,19.962,36.562,42.458,20.98,445,Past,0.394,0.14
2021/06/25 21:00:00+00,235,1772,4701,11477,8709,6299,4735,2763,1441,1085,0,289,1837,4223,10415,8679,6217,4714,2756,1245,658,0,528,3632,8952,21997,17454,12556,9481,5530,2693,1748,0,43217,41033,321,3.046,7.485,54.908,14.062,19.964,36.571,42.452,20.977,446,Past,0.396,0.14
2021/06/26 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,Past,,
2021/06/27 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,Past,,
2021/06/28 21:00:00+00,235,1772,4701,11482,8714,6300,4737,2765,1441,1086,0,289,1837,4228,10419,8683,6220,4717,2759,1245,658,0,528,3632,8957,22007,17463,12560,9486,5535,2693,1749,0,43233,41055,322,3.047,7.489,54.909,14.053,19.966,36.593,42.424,20.983,449,Past,0.395,0.139
2021/06/29 21:00:00+00,235,1776,4705,11498,8725,6308,4738,2773,1441,1088,0,290,1839,4234,10424,8697,6225,4722,2763,1245,659,0,529,3638,8967,22027,17488,12573,9492,5547,2693,1752,0,43287,41098,321,3.053,7.492,54.92,14.04,19.962,36.609,42.399,20.992,450,Past,0.395,0.139
2021/06/30 21:00:00+00,235,1176,4707,11499,8726,6310,4739,2774,1440,1088,0,290,1841,4234,10424,8701,6227,4725,2765,1246,659,0,529,3640,8969,22028,17494,12577,9296,5550,2693,1752,0,43294,41112,322,3.053,7.496,54.919,14.04,19.958,36.604,42.4,20.996,451,Past,0.395,0.139
2021/07/01 21:00:00+00,236,1778,4708,11509,8730,6316,4740,2774,1441,1088,0,290,1843,4237,10427,8705,6229,4727,2765,1245,659,0,530,3644,8973,22042,17502,12585,9499,5550,2693,1752,0,43320,41127,323,3.053,7.501,54.917,14.032,19.964,36.61,42.389,21.001,452,Past,0.394,0.139
2021/07/02 21:00:00+00,236,1779,4710,11520,8738,6322,4743,2776,1441,1088,0,291,1844,4240,10438,8713,6236,4731,2769,1245,659,0,531,3646,8978,22064,17518,12598,9506,5556,2693,1752,0,43353,41166,323,3.05,7.503,54.927,14.023,19.963,36.615,42.387,20.998,453,Past,0.394,0.139
2021/07/03 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,Past,,
2021/07/04 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,Past,,
2021/07/05 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,Past,,
2021/07/06 21:00:00+00,237,1780,4711,11531,8740,6325,4749,2778,1442,1088,0,291,1848,4240,10443,8719,6239,4730,2770,1245,659,0,532,3651,8979,22080,17526,12604,9511,5559,2694,1752,0,43381,41184,323,3.049,7.511,54.913,14.033,19.962,36.625,42.373,21.001,457,Past,0.393,0.139
2021/07/07 21:00:00+00,237,1783,4716,11548,8760,6345,4754,2785,1444,1088,0,292,1852,4253,10462,8735,6253,4739,2770,1247,661,0,533,3658,8997,22116,17562,12638,9525,5566,2698,1754,0,43460,41264,323,3.046,7.504,54.939,14.037,19.943,36.622,42.382,20.996,458,Past,0.393,0.139
2021/07/08 21:00:00+00,237,1786,4719,11560,8764,6349,4762,2790,1446,1089,0,292,1855,4254,10464,8747,6257,4743,2779,1248,662,0,533,3664,9001,22130,17579,12646,9537,5580,2701,1756,0,43502,41301,324,3.051,7.499,54.949,14.039,19.928,36.636,42.371,20.993,459,Past,0.395,0.139
2021/07/09 21:00:00+00,237,1786,4722,11566,8771,6357,4766,2790,1446,1090,0,294,1856,4256,10473,8759,6266,4748,2779,1250,662,0,535,3665,9006,22146,17598,12663,9546,5580,2703,1757,0,43531,41343,325,3.05,7.499,54.961,14.035,19.921,36.648,42.364,20.988,460,Past,0.395,0.139
2021/07/10 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,Past,,
2021/07/11 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,Past,,
2021/07/12 21:00:00+00,238,1787,4729,11582,8776,6364,4771,2792,1446,1090,0,294,1862,4261,10482,8768,6271,4754,2781,1250,662,0,536,3672,9018,22171,17611,12675,9557,5584,2703,1757,0,43575,41385,324,3.052,7.495,54.97,14.037,19.913,36.66,42.366,20.974,463,Past,0.394,0.138
2021/07/13 21:00:00+00,239,1796,4735,11615,8797,6379,4782,2799,1447,1090,0,294,1865,4273,10507,8787,6285,4766,2786,1255,662,0,537,3685,9036,22230,17652,12704,9580,5596,2709,1757,0,43679,41480,327,3.049,7.504,54.989,14.034,19.891,36.681,42.365,20.954,464,Past,0.394,0.138
2021/07/14 21:00:00+00,239,1797,4745,11628,8820,6384,4786,2803,1449,1090,0,295,1869,4279,10524,8800,6292,4771,2790,1260,666,0,538,3690,9052,22260,17688,12716,9589,5604,2716,1761,0,43741,41546,327,3.046,7.501,55.014,14.035,19.872,36.703,42.362,20.935,465,Past,0.393,0.138
2021/07/15 21:00:00+00,239,1803,4758,11651,8841,6397,4795,2806,1451,1092,0,296,1874,4289,10540,8818,6308,4776,2795,1265,666,0,539,3701,9075,22299,17727,12745,9603,5612,2723,1763,0,43833,41627,327,3.043,7.509,55.019,14.032,19.863,36.709,42.364,20.927,466,Past,0.395,0.138
2021/07/16 21:00:00+00,241,1806,4762,11672,8857,6411,4803,2808,1454,1092,0,296,1878,4300,10556,8834,6315,4779,2796,1266,667,0,541,3708,9090,22336,17759,12766,9614,5615,2727,1764,0,43906,41687,327,3.047,7.509,55.019,14.036,19.857,36.727,42.354,20.919,467,Past,0.394,0.138
2021/07/17 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,Past,,
2021/07/18 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,Past,,
2021/07/19 21:00:00+00,244,1810,4777,11689,8877,6425,4810,2814,1456,1093,0,297,1883,4309,10573,8849,6326,4789,2797,1267,667,0,545,3717,9114,22370,17794,12791,9631,5622,2730,1765,0,43995,41757,327,3.053,7.509,55.007,14.032,19.863,36.73,42.356,20.915,470,Past,0.398,0.137
2021/07/20 21:00:00+00,243,1823,4784,11731,8911,6444,4824,2816,1458,1093,0,298,1890,4323,10614,8888,6354,4799,2802,1270,667,0,545,3737,9136,22454,17867,12838,9655,5629,2735,1765,0,44127,41905,329,3.054,7.508,55.027,14.03,19.846,36.735,42.363,20.902,471,Past,0.397,0.137
2021/07/21 21:00:00+00,245,1831,4791,11755,8921,6459,4830,2820,1460,1095,2,298,1895,4330,10627,8908,6365,4812,2805,1273,670,1,547,3750,9150,22492,17897,12865,9674,5636,2740,1770,3,44209,41984,331,3.052,7.51,55.019,14.037,19.848,36.732,42.356,20.911,472,Past,0.397,0.137
2021/07/22 21:00:00+00,245,1839,4809,11794,8960,6481,4842,2828,1464,1097,0,300,1903,4350,10661,8943,6385,4827,2813,1276,671,0,549,3766,9189,22569,17972,12908,9701,5652,2747,1773,0,44359,42129,338,3.048,7.511,55.036,14.035,19.838,36.741,42.343,20.916,473,Past,0.396,0.137
2021/07/23 21:00:00+00,245,1852,4820,11832,8990,6505,4847,2834,1467,1101,0,301,1917,4367,10706,8985,6412,4836,2822,1279,671,0,550,3793,9216,22652,18043,12959,9715,5667,2753,1777,0,44493,42296,336,3.045,7.508,55.042,14.027,19.845,36.746,42.335,20.919,474,Past,0.395,0.137
2021/07/24 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,Past,,
2021/07/25 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,Past,,
2021/07/26 21:00:00+00,248,1867,4850,11885,9034,6533,4863,2841,1472,1102,0,302,1930,4397,10777,9045,6443,4853,2833,1283,672,0,554,3821,9276,22777,18150,13018,9749,5685,2762,1779,0,44695,42535,341,3.038,7.519,55.046,14.031,19.834,36.79,42.312,22.898,477,Past,0.396,0.136
